,Account,Compound,Created Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago
297,@CNN,0.4767,Sun Mar 25 20:45:06 +0000 2018,0.0,0.78,0.22,Monégasque racing driver Charles Leclerc impresses on debut in Australia https://t.co/lR1qvWSlYn https://t.co/KmYSAA2JVX,298
298,@CNN,-0.6124,Sun Mar 25 20:30:04 +0000 2018,0.294,0.706,0.0,Wisconsin students take gun reform fight to House Speaker Paul Ryan's hometown https://t.co/jpKPV0Lm5p https://t.co/wsP3WVHlcH,299
299,@CNN,0.1901,Sun Mar 25 20:15:19 +0000 2018,0.0,0.907,0.093,"Renaissance popes like Rodrigo Borgia made incredible cultural advancements, but at what cost? The price of progres… https://t.co/GnxJ683r5B",300
300,@FoxNews,0.0,Mon Mar 26 00:39:04 +0000 2018,0.0,1.0,0.0,Sister Jean says there must be 'limitations' to spend time with Charles Barkley https://t.co/mDVuGRGPXA,301
301,@FoxNews,-0.4019,Mon Mar 26 00:35:55 +0000 2018,0.231,0.769,0.0,Dramatic South Carolina school bus crash caught on camera https://t.co/wc8ZoUldOn,302
302,@FoxNews,0.0,Mon Mar 26 00:30:32 +0000 2018,0.0,1.0,0.0,"#MarchForOurLives DC Crowd Smaller than Organizers' Estimates, Imaging Company Says https://t.co/MuGS1KP5j9",303
303,@FoxNews,0.4215,Mon Mar 26 00:26:35 +0000 2018,0.0,0.811,0.189,"On ""@WattersWorld,"" @KellyannePolls discussed the progress President @realDonaldTrump's administration has made in… https://t.co/wYp5gsdWrp",304
304,@FoxNews,-0.5859,Mon Mar 26 00:20:29 +0000 2018,0.213,0.787,0.0,".@JudgeJeanine: ""The omnibus bill that Republicans gave President @realDonaldTrump [Friday] is a total betrayal of… https://t.co/MlIoRAV5sk",305
305,@FoxNews,0.3878,Mon Mar 26 00:10:38 +0000 2018,0.12,0.681,0.199,"Peter Navarro: ""@POTUS orchestrated one of the most brilliant tax cuts in history."" #SundayFutures @MariaBartiromo https://t.co/t5dnS05VgD",306
306,@FoxNews,-0.4588,Mon Mar 26 00:08:25 +0000 2018,0.176,0.824,0.0,Stormy Daniels Claims She Was Threatened in Parking Lot Against Revealing Alleged Trump Affair https://t.co/ZQEHS7hIhF,307
307,@FoxNews,0.0,Mon Mar 26 00:06:26 +0000 2018,0.0,1.0,0.0,"'I Went Through Hell': Former FBI Agent Says Andrew McCabe 'Targeted', 'Slandered' Her https://t.co/Sf05PC158b",308
308,@FoxNews,-0.7717,Mon Mar 26 00:00:00 +0000 2018,0.261,0.739,0.0,"TUNE IN: 'Legends &amp; Lies' Returns With a Riveting Look at The Civil War - Hosted by Brian @Kilmeade, it all starts… https://t.co/aolnYbMDYg",309
309,@FoxNews,-0.2732,Sun Mar 25 23:58:21 +0000 2018,0.226,0.645,0.129,".@cameron_kasky on school safety: ""There's no specific mental health problem that makes all these shootings happen,… https://t.co/ffFfkfWrfF",310
310,@FoxNews,-0.7096,Sun Mar 25 23:50:10 +0000 2018,0.396,0.604,0.0,"Russia shopping center fire kills at least 37, report says https://t.co/RfX1o8gE3N",311
311,@FoxNews,-0.6969,Sun Mar 25 23:38:12 +0000 2018,0.2,0.8,0.0,".@newtgingrich: ""There are five cities in America that have most of the killings in America, five cities. All five… https://t.co/YXWT7oI6ZR",312
312,@FoxNews,0.0,Sun Mar 25 23:22:35 +0000 2018,0.162,0.676,0.162,.@AmbJohnBolton responds after @timkaine questions security clearance over Russia gun video https://t.co/FBkKahPsuI,313
313,@FoxNews,0.3252,Sun Mar 25 23:16:51 +0000 2018,0.0,0.811,0.189,OPINION: This is why Trump never speaks ill of Putin https://t.co/w4JyAo4HHA,314
314,@FoxNews,0.0,Sun Mar 25 23:08:56 +0000 2018,0.0,1.0,0.0,"RT @FoxBusiness: WhatsApp co-founder, who sold his company to Facebook, just told his followers to delete it https://t.co/0I9510CSVr",315
315,@FoxNews,0.7096,Sun Mar 25 23:06:00 +0000 2018,0.076,0.583,0.341,"Rapper @KillerMike, who endorsed @BernieSanders for president, ripped supporters of the school walkouts in favor of… https://t.co/8fOlVJkH8b",316
316,@FoxNews,-0.7906,Sun Mar 25 23:03:19 +0000 2018,0.5,0.5,0.0,OPINION: Palestinian civil war causes suffering in Gaza https://t.co/lKbIyqmmDF,317
317,@FoxNews,-0.4019,Sun Mar 25 22:56:36 +0000 2018,0.114,0.886,0.0,".@KellyannePolls on spending bill: ""This is a town that not so long ago was mocking the very idea of a wall, and no… https://t.co/dpgeAaYylg",318
318,@FoxNews,-0.5267,Sun Mar 25 22:46:36 +0000 2018,0.221,0.779,0.0,Man sucker punches 5-year-old in face on New York City subway: cops https://t.co/mImKuby4BO,319
319,@FoxNews,0.0,Sun Mar 25 22:36:48 +0000 2018,0.0,1.0,0.0,"The @BlueAngels took to the sky in Kingsville, Texas for the Wings Over South Texas Air Show. #ProudAmerican https://t.co/I6NjuuPj4f",320
320,@FoxNews,0.0,Mon Mar 26 00:39:04 +0000 2018,0.0,1.0,0.0,Sister Jean says there must be 'limitations' to spend time with Charles Barkley https://t.co/mDVuGRGPXA,321
321,@FoxNews,-0.4019,Mon Mar 26 00:35:55 +0000 2018,0.231,0.769,0.0,Dramatic South Carolina school bus crash caught on camera https://t.co/wc8ZoUldOn,322
322,@FoxNews,0.0,Mon Mar 26 00:30:32 +0000 2018,0.0,1.0,0.0,"#MarchForOurLives DC Crowd Smaller than Organizers' Estimates, Imaging Company Says https://t.co/MuGS1KP5j9",323
323,@FoxNews,0.4215,Mon Mar 26 00:26:35 +0000 2018,0.0,0.811,0.189,"On ""@WattersWorld,"" @KellyannePolls discussed the progress President @realDonaldTrump's administration has made in… https://t.co/wYp5gsdWrp",324
324,@FoxNews,-0.5859,Mon Mar 26 00:20:29 +0000 2018,0.213,0.787,0.0,".@JudgeJeanine: ""The omnibus bill that Republicans gave President @realDonaldTrump [Friday] is a total betrayal of… https://t.co/MlIoRAV5sk",325
325,@FoxNews,0.3878,Mon Mar 26 00:10:38 +0000 2018,0.12,0.681,0.199,"Peter Navarro: ""@POTUS orchestrated one of the most brilliant tax cuts in history."" #SundayFutures @MariaBartiromo https://t.co/t5dnS05VgD",326
326,@FoxNews,-0.4588,Mon Mar 26 00:08:25 +0000 2018,0.176,0.824,0.0,Stormy Daniels Claims She Was Threatened in Parking Lot Against Revealing Alleged Trump Affair https://t.co/ZQEHS7hIhF,327
327,@FoxNews,0.0,Mon Mar 26 00:06:26 +0000 2018,0.0,1.0,0.0,"'I Went Through Hell': Former FBI Agent Says Andrew McCabe 'Targeted', 'Slandered' Her https://t.co/Sf05PC158b",328
328,@FoxNews,-0.7717,Mon Mar 26 00:00:00 +0000 2018,0.261,0.739,0.0,"TUNE IN: 'Legends &amp; Lies' Returns With a Riveting Look at The Civil War - Hosted by Brian @Kilmeade, it all starts… https://t.co/aolnYbMDYg",329
329,@FoxNews,-0.2732,Sun Mar 25 23:58:21 +0000 2018,0.226,0.645,0.129,".@cameron_kasky on school safety: ""There's no specific mental health problem that makes all these shootings happen,… https://t.co/ffFfkfWrfF",330
330,@FoxNews,-0.7096,Sun Mar 25 23:50:10 +0000 2018,0.396,0.604,0.0,"Russia shopping center fire kills at least 37, report says https://t.co/RfX1o8gE3N",331
331,@FoxNews,-0.6969,Sun Mar 25 23:38:12 +0000 2018,0.2,0.8,0.0,".@newtgingrich: ""There are five cities in America that have most of the killings in America, five cities. All five… https://t.co/YXWT7oI6ZR",332
332,@FoxNews,0.0,Sun Mar 25 23:22:35 +0000 2018,0.162,0.676,0.162,.@AmbJohnBolton responds after @timkaine questions security clearance over Russia gun video https://t.co/FBkKahPsuI,333
333,@FoxNews,0.3252,Sun Mar 25 23:16:51 +0000 2018,0.0,0.811,0.189,OPINION: This is why Trump never speaks ill of Putin https://t.co/w4JyAo4HHA,334
334,@FoxNews,0.0,Sun Mar 25 23:08:56 +0000 2018,0.0,1.0,0.0,"RT @FoxBusiness: WhatsApp co-founder, who sold his company to Facebook, just told his followers to delete it https://t.co/0I9510CSVr",335
335,@FoxNews,0.7096,Sun Mar 25 23:06:00 +0000 2018,0.076,0.583,0.341,"Rapper @KillerMike, who endorsed @BernieSanders for president, ripped supporters of the school walkouts in favor of… https://t.co/8fOlVJkH8b",336
336,@FoxNews,-0.7906,Sun Mar 25 23:03:19 +0000 2018,0.5,0.5,0.0,OPINION: Palestinian civil war causes suffering in Gaza https://t.co/lKbIyqmmDF,337
337,@FoxNews,-0.4019,Sun Mar 25 22:56:36 +0000 2018,0.114,0.886,0.0,".@KellyannePolls on spending bill: ""This is a town that not so long ago was mocking the very idea of a wall, and no… https://t.co/dpgeAaYylg",338
338,@FoxNews,-0.5267,Sun Mar 25 22:46:36 +0000 2018,0.221,0.779,0.0,Man sucker punches 5-year-old in face on New York City subway: cops https://t.co/mImKuby4BO,339
339,@FoxNews,0.0,Sun Mar 25 22:36:48 +0000 2018,0.0,1.0,0.0,"The @BlueAngels took to the sky in Kingsville, Texas for the Wings Over South Texas Air Show. #ProudAmerican https://t.co/I6NjuuPj4f",340
340,@FoxNews,0.0,Mon Mar 26 00:39:04 +0000 2018,0.0,1.0,0.0,Sister Jean says there must be 'limitations' to spend time with Charles Barkley https://t.co/mDVuGRGPXA,341
341,@FoxNews,-0.4019,Mon Mar 26 00:35:55 +0000 2018,0.231,0.769,0.0,Dramatic South Carolina school bus crash caught on camera https://t.co/wc8ZoUldOn,342
342,@FoxNews,0.0,Mon Mar 26 00:30:32 +0000 2018,0.0,1.0,0.0,"#MarchForOurLives DC Crowd Smaller than Organizers' Estimates, Imaging Company Says https://t.co/MuGS1KP5j9",343
343,@FoxNews,0.4215,Mon Mar 26 00:26:35 +0000 2018,0.0,0.811,0.189,"On ""@WattersWorld,"" @KellyannePolls discussed the progress President @realDonaldTrump's administration has made in… https://t.co/wYp5gsdWrp",344
344,@FoxNews,-0.5859,Mon Mar 26 00:20:29 +0000 2018,0.213,0.787,0.0,".@JudgeJeanine: ""The omnibus bill that Republicans gave President @realDonaldTrump [Friday] is a total betrayal of… https://t.co/MlIoRAV5sk",345
345,@FoxNews,0.3878,Mon Mar 26 00:10:38 +0000 2018,0.12,0.681,0.199,"Peter Navarro: ""@POTUS orchestrated one of the most brilliant tax cuts in history."" #SundayFutures @MariaBartiromo https://t.co/t5dnS05VgD",346
346,@FoxNews,-0.4588,Mon Mar 26 00:08:25 +0000 2018,0.176,0.824,0.0,Stormy Daniels Claims She Was Threatened in Parking Lot Against Revealing Alleged Trump Affair https://t.co/ZQEHS7hIhF,347
347,@FoxNews,0.0,Mon Mar 26 00:06:26 +0000 2018,0.0,1.0,0.0,"'I Went Through Hell': Former FBI Agent Says Andrew McCabe 'Targeted', 'Slandered' Her https://t.co/Sf05PC158b",348
348,@FoxNews,-0.7717,Mon Mar 26 00:00:00 +0000 2018,0.261,0.739,0.0,"TUNE IN: 'Legends &amp; Lies' Returns With a Riveting Look at The Civil War - Hosted by Brian @Kilmeade, it all starts… https://t.co/aolnYbMDYg",349
349,@FoxNews,-0.2732,Sun Mar 25 23:58:21 +0000 2018,0.226,0.645,0.129,".@cameron_kasky on school safety: ""There's no specific mental health problem that makes all these shootings happen,… https://t.co/ffFfkfWrfF",350
350,@FoxNews,-0.7096,Sun Mar 25 23:50:10 +0000 2018,0.396,0.604,0.0,"Russia shopping center fire kills at least 37, report says https://t.co/RfX1o8gE3N",351
351,@FoxNews,-0.6969,Sun Mar 25 23:38:12 +0000 2018,0.2,0.8,0.0,".@newtgingrich: ""There are five cities in America that have most of the killings in America, five cities. All five… https://t.co/YXWT7oI6ZR",352
352,@FoxNews,0.0,Sun Mar 25 23:22:35 +0000 2018,0.162,0.676,0.162,.@AmbJohnBolton responds after @timkaine questions security clearance over Russia gun video https://t.co/FBkKahPsuI,353
353,@FoxNews,0.3252,Sun Mar 25 23:16:51 +0000 2018,0.0,0.811,0.189,OPINION: This is why Trump never speaks ill of Putin https://t.co/w4JyAo4HHA,354
354,@FoxNews,0.0,Sun Mar 25 23:08:56 +0000 2018,0.0,1.0,0.0,"RT @FoxBusiness: WhatsApp co-founder, who sold his company to Facebook, just told his followers to delete it https://t.co/0I9510CSVr",355
355,@FoxNews,0.7096,Sun Mar 25 23:06:00 +0000 2018,0.076,0.583,0.341,"Rapper @KillerMike, who endorsed @BernieSanders for president, ripped supporters of the school walkouts in favor of… https://t.co/8fOlVJkH8b",356
356,@FoxNews,-0.7906,Sun Mar 25 23:03:19 +0000 2018,0.5,0.5,0.0,OPINION: Palestinian civil war causes suffering in Gaza https://t.co/lKbIyqmmDF,357
357,@FoxNews,-0.4019,Sun Mar 25 22:56:36 +0000 2018,0.114,0.886,0.0,".@KellyannePolls on spending bill: ""This is a town that not so long ago was mocking the very idea of a wall, and no… https://t.co/dpgeAaYylg",358
358,@FoxNews,-0.5267,Sun Mar 25 22:46:36 +0000 2018,0.221,0.779,0.0,Man sucker punches 5-year-old in face on New York City subway: cops https://t.co/mImKuby4BO,359
359,@FoxNews,0.0,Sun Mar 25 22:36:48 +0000 2018,0.0,1.0,0.0,"The @BlueAngels took to the sky in Kingsville, Texas for the Wings Over South Texas Air Show. #ProudAmerican https://t.co/I6NjuuPj4f",360
360,@FoxNews,0.0,Mon Mar 26 00:39:04 +0000 2018,0.0,1.0,0.0,Sister Jean says there must be 'limitations' to spend time with Charles Barkley https://t.co/mDVuGRGPXA,361
361,@FoxNews,-0.4019,Mon Mar 26 00:35:55 +0000 2018,0.231,0.769,0.0,Dramatic South Carolina school bus crash caught on camera https://t.co/wc8ZoUldOn,362
362,@FoxNews,0.0,Mon Mar 26 00:30:32 +0000 2018,0.0,1.0,0.0,"#MarchForOurLives DC Crowd Smaller than Organizers' Estimates, Imaging Company Says https://t.co/MuGS1KP5j9",363
363,@FoxNews,0.4215,Mon Mar 26 00:26:35 +0000 2018,0.0,0.811,0.189,"On ""@WattersWorld,"" @KellyannePolls discussed the progress President @realDonaldTrump's administration has made in… https://t.co/wYp5gsdWrp",364
364,@FoxNews,-0.5859,Mon Mar 26 00:20:29 +0000 2018,0.213,0.787,0.0,".@JudgeJeanine: ""The omnibus bill that Republicans gave President @realDonaldTrump [Friday] is a total betrayal of… https://t.co/MlIoRAV5sk",365
365,@FoxNews,0.3878,Mon Mar 26 00:10:38 +0000 2018,0.12,0.681,0.199,"Peter Navarro: ""@POTUS orchestrated one of the most brilliant tax cuts in history."" #SundayFutures @MariaBartiromo https://t.co/t5dnS05VgD",366
366,@FoxNews,-0.4588,Mon Mar 26 00:08:25 +0000 2018,0.176,0.824,0.0,Stormy Daniels Claims She Was Threatened in Parking Lot Against Revealing Alleged Trump Affair https://t.co/ZQEHS7hIhF,367
367,@FoxNews,0.0,Mon Mar 26 00:06:26 +0000 2018,0.0,1.0,0.0,"'I Went Through Hell': Former FBI Agent Says Andrew McCabe 'Targeted', 'Slandered' Her https://t.co/Sf05PC158b",368
368,@FoxNews,-0.7717,Mon Mar 26 00:00:00 +0000 2018,0.261,0.739,0.0,"TUNE IN: 'Legends &amp; Lies' Returns With a Riveting Look at The Civil War - Hosted by Brian @Kilmeade, it all starts… https://t.co/aolnYbMDYg",369
369,@FoxNews,-0.2732,Sun Mar 25 23:58:21 +0000 2018,0.226,0.645,0.129,".@cameron_kasky on school safety: ""There's no specific mental health problem that makes all these shootings happen,… https://t.co/ffFfkfWrfF",370
370,@FoxNews,-0.7096,Sun Mar 25 23:50:10 +0000 2018,0.396,0.604,0.0,"Russia shopping center fire kills at least 37, report says https://t.co/RfX1o8gE3N",371
371,@FoxNews,-0.6969,Sun Mar 25 23:38:12 +0000 2018,0.2,0.8,0.0,".@newtgingrich: ""There are five cities in America that have most of the killings in America, five cities. All five… https://t.co/YXWT7oI6ZR",372
372,@FoxNews,0.0,Sun Mar 25 23:22:35 +0000 2018,0.162,0.676,0.162,.@AmbJohnBolton responds after @timkaine questions security clearance over Russia gun video https://t.co/FBkKahPsuI,373
373,@FoxNews,0.3252,Sun Mar 25 23:16:51 +0000 2018,0.0,0.811,0.189,OPINION: This is why Trump never speaks ill of Putin https://t.co/w4JyAo4HHA,374
374,@FoxNews,0.0,Sun Mar 25 23:08:56 +0000 2018,0.0,1.0,0.0,"RT @FoxBusiness: WhatsApp co-founder, who sold his company to Facebook, just told his followers to delete it https://t.co/0I9510CSVr",375
375,@FoxNews,0.7096,Sun Mar 25 23:06:00 +0000 2018,0.076,0.583,0.341,"Rapper @KillerMike, who endorsed @BernieSanders for president, ripped supporters of the school walkouts in favor of… https://t.co/8fOlVJkH8b",376
376,@FoxNews,-0.7906,Sun Mar 25 23:03:19 +0000 2018,0.5,0.5,0.0,OPINION: Palestinian civil war causes suffering in Gaza https://t.co/lKbIyqmmDF,377
377,@FoxNews,-0.4019,Sun Mar 25 22:56:36 +0000 2018,0.114,0.886,0.0,".@KellyannePolls on spending bill: ""This is a town that not so long ago was mocking the very idea of a wall, and no… https://t.co/dpgeAaYylg",378
378,@FoxNews,-0.5267,Sun Mar 25 22:46:36 +0000 2018,0.221,0.779,0.0,Man sucker punches 5-year-old in face on New York City subway: cops https://t.co/mImKuby4BO,379
379,@FoxNews,0.0,Sun Mar 25 22:36:48 +0000 2018,0.0,1.0,0.0,"The @BlueAngels took to the sky in Kingsville, Texas for the Wings Over South Texas Air Show. #ProudAmerican https://t.co/I6NjuuPj4f",380
380,@FoxNews,0.0,Mon Mar 26 00:39:04 +0000 2018,0.0,1.0,0.0,Sister Jean says there must be 'limitations' to spend time with Charles Barkley https://t.co/mDVuGRGPXA,381
381,@FoxNews,-0.4019,Mon Mar 26 00:35:55 +0000 2018,0.231,0.769,0.0,Dramatic South Carolina school bus crash caught on camera https://t.co/wc8ZoUldOn,382
382,@FoxNews,0.0,Mon Mar 26 00:30:32 +0000 2018,0.0,1.0,0.0,"#MarchForOurLives DC Crowd Smaller than Organizers' Estimates, Imaging Company Says https://t.co/MuGS1KP5j9",383
383,@FoxNews,0.4215,Mon Mar 26 00:26:35 +0000 2018,0.0,0.811,0.189,"On ""@WattersWorld,"" @KellyannePolls discussed the progress President @realDonaldTrump's administration has made in… https://t.co/wYp5gsdWrp",384
384,@FoxNews,-0.5859,Mon Mar 26 00:20:29 +0000 2018,0.213,0.787,0.0,".@JudgeJeanine: ""The omnibus bill that Republicans gave President @realDonaldTrump [Friday] is a total betrayal of… https://t.co/MlIoRAV5sk",385
385,@FoxNews,0.3878,Mon Mar 26 00:10:38 +0000 2018,0.12,0.681,0.199,"Peter Navarro: ""@POTUS orchestrated one of the most brilliant tax cuts in history."" #SundayFutures @MariaBartiromo https://t.co/t5dnS05VgD",386
386,@FoxNews,-0.4588,Mon Mar 26 00:08:25 +0000 2018,0.176,0.824,0.0,Stormy Daniels Claims She Was Threatened in Parking Lot Against Revealing Alleged Trump Affair https://t.co/ZQEHS7hIhF,387
387,@FoxNews,0.0,Mon Mar 26 00:06:26 +0000 2018,0.0,1.0,0.0,"'I Went Through Hell': Former FBI Agent Says Andrew McCabe 'Targeted', 'Slandered' Her https://t.co/Sf05PC158b",388
388,@FoxNews,-0.7717,Mon Mar 26 00:00:00 +0000 2018,0.261,0.739,0.0,"TUNE IN: 'Legends &amp; Lies' Returns With a Riveting Look at The Civil War - Hosted by Brian @Kilmeade, it all starts… https://t.co/aolnYbMDYg",389
389,@FoxNews,-0.2732,Sun Mar 25 23:58:21 +0000 2018,0.226,0.645,0.129,".@cameron_kasky on school safety: ""There's no specific mental health problem that makes all these shootings happen,… https://t.co/ffFfkfWrfF",390
390,@FoxNews,-0.7096,Sun Mar 25 23:50:10 +0000 2018,0.396,0.604,0.0,"Russia shopping center fire kills at least 37, report says https://t.co/RfX1o8gE3N",391
391,@FoxNews,-0.6969,Sun Mar 25 23:38:12 +0000 2018,0.2,0.8,0.0,".@newtgingrich: ""There are five cities in America that have most of the killings in America, five cities. All five… https://t.co/YXWT7oI6ZR",392
392,@FoxNews,0.0,Sun Mar 25 23:22:35 +0000 2018,0.162,0.676,0.162,.@AmbJohnBolton responds after @timkaine questions security clearance over Russia gun video https://t.co/FBkKahPsuI,393
393,@FoxNews,0.3252,Sun Mar 25 23:16:51 +0000 2018,0.0,0.811,0.189,OPINION: This is why Trump never speaks ill of Putin https://t.co/w4JyAo4HHA,394
394,@FoxNews,0.0,Sun Mar 25 23:08:56 +0000 2018,0.0,1.0,0.0,"RT @FoxBusiness: WhatsApp co-founder, who sold his company to Facebook, just told his followers to delete it https://t.co/0I9510CSVr",395
395,@FoxNews,0.7096,Sun Mar 25 23:06:00 +0000 2018,0.076,0.583,0.341,"Rapper @KillerMike, who endorsed @BernieSanders for president, ripped supporters of the school walkouts in favor of… https://t.co/8fOlVJkH8b",396
396,@FoxNews,-0.7906,Sun Mar 25 23:03:19 +0000 2018,0.5,0.5,0.0,OPINION: Palestinian civil war causes suffering in Gaza https://t.co/lKbIyqmmDF,397
397,@FoxNews,-0.4019,Sun Mar 25 22:56:36 +0000 2018,0.114,0.886,0.0,".@KellyannePolls on spending bill: ""This is a town that not so long ago was mocking the very idea of a wall, and no… https://t.co/dpgeAaYylg",398
398,@FoxNews,-0.5267,Sun Mar 25 22:46:36 +0000 2018,0.221,0.779,0.0,Man sucker punches 5-year-old in face on New York City subway: cops https://t.co/mImKuby4BO,399
